sector/I,stack/I,layer/I,rob/I,mcm/I,channel/I,mean/F,rms/F,nentries/I
00,2,1,0,3,1,469.1912,19.72769,28350
00,2,1,0,3,0,480.677,17.6897,28350
00,2,1,0,7,1,485.93445,18.053848,28350
00,2,1,0,7,0,424.61185,18.296122,28350
00,2,1,0,11,1,461.3727,15.769705,28350
00,2,1,0,11,0,474.71045,15.397505,28350
00,2,1,0,15,1,432.06012,15.520162,28350
00,2,1,0,15,0,399.75015,16.514112,28350
00,3,3,2,13,9,18.397722,18.413471,28350
00,3,3,4,15,3,41.33736,41.338898,28350
01,3,4,3,12,18,265.60046,0.499901,28350
01,3,4,4,3,3,265.57925,0.5716581,28350
01,3,4,4,3,1,265.85934,0.46894035,28350
01,4,4,5,7,4,22,22.000008,28350
01,0,5,1,12,14,265.56952,0.5745357,28350
01,0,5,6,3,2,265.75528,0.56436765,28350
01,1,5,2,3,1,274.77158,33.22106,28350
01,1,5,2,3,0,265.5865,31.103416,28350
01,1,5,2,7,1,266.31863,31.021494,28350
01,1,5,2,7,0,268.233,33.345165,28350
01,2,5,2,3,1,406.44327,47.806473,28350
01,2,5,2,3,0,286.49695,31.445244,28350
01,2,5,2,11,1,279.08127,29.212788,28350
01,4,5,6,1,1,270.04327,33.479366,28350
02,3,1,6,12,6,522,0,28350
02,0,2,1,14,3,265.38983,0.5929814,28350
02,3,3,2,3,1,265.07394,34.52032,28350
02,3,3,2,3,0,265.5991,31.51964,28350
02,3,3,2,7,1,265.86948,29.286001,28350
02,3,3,2,7,0,265.82993,31.410028,28350
02,2,5,1,4,1,266,0,28350
06,4,0,1,5,10,28.684774,41.94208,28350
06,4,2,6,2,6,266,0,28350
07,2,0,0,15,12,307.40976,49.934124,28350
07,3,5,0,11,1,373.0457,50.38768,28350
07,3,5,0,11,0,400.01932,50.672558,28350
07,3,5,0,15,1,267.7479,30.925264,28350
07,3,5,0,15,0,265.71356,30.047518,28350
07,3,5,2,3,1,421.64737,37.28318,28350
07,3,5,2,3,0,456.74564,37.853867,28350
07,3,5,4,7,1,269.54025,24.168056,28350
08,1,3,4,11,1,266.3231,24.924957,28350
08,1,3,4,11,0,264.93756,23.148537,28350
09,3,0,3,0,11,522,0,28320
09,0,3,1,15,3,17.119967,17.141994,28260
10,2,3,5,8,1,267.4762,46.398293,16710
11,3,4,6,3,1,450.51562,37.59076,16710
11,3,4,6,3,0,420.54504,38.107338,16710
12,0,3,4,15,1,266.3154,21.802343,28350
12,0,4,0,7,2,265.40616,0.5443716,28350
12,0,4,0,15,6,265.761,0.34712756,28350
12,0,4,4,7,10,265.58377,0.56354713,28350
12,0,4,7,4,18,265.3888,0.50579166,28350
12,0,4,6,15,12,265.783,0.40548047,28350
12,0,4,6,15,10,265.8309,0.41709724,28350
14,3,3,4,12,1,273.89395,30.686356,28350
15,0,1,4,0,1,265.76703,33.084774,28350
15,0,4,1,9,1,267.04776,33.234344,28350
15,0,4,1,9,0,268.22964,34.073277,28350
16,1,3,6,15,1,266.75504,31.854864,28350
