sm_slot,sm_stack,sm_layer,roc_type,roc_serial,roc_pos,rob_pos,adcmask
0,0,1,L1C1,14,0,1,524288
0,0,1,L1C1,14,1,15,8
0,1,1,L1C1,3,3,1,1
0,1,5,L5C1,8,1,5,1
0,3,2,L2C1,22,6,11,2
0,3,3,L3C1,14,2,13,512
0,3,3,L3C1,14,4,15,8
0,3,5,L5C1,18,6,7,1
0,4,1,L1C1,29,6,2,512
0,4,2,L2C1,15,0,6,1
0,4,3,L3C1,5,5,12,1048576
0,4,5,L5C1,26,1,14,4
0,4,5,L5C1,26,2,10,1
1,0,5,L5C1,22,1,12,16384
1,0,5,L5C1,22,6,3,4
1,0,5,L5C1,22,7,0,1048576
1,2,5,L5C0,9,2,3,3
1,2,5,L5C0,9,2,7,3
1,2,5,L5C0,9,2,11,2
1,2,5,L5C0,9,2,15,3
1,2,5,L5C0,9,3,0,1048576
1,2,5,L5C0,9,3,4,1048576
1,2,5,L5C0,9,3,8,1048576
1,3,4,L4C1,7,2,15,1
1,3,4,L4C1,7,3,12,262144
1,3,4,L4C1,7,4,3,11
1,3,4,L4C1,7,5,0,524288
1,4,0,L0C1,23,4,13,1
1,4,4,L4C1,14,5,7,19
1,4,5,L5C1,44,6,1,2
2,0,2,L2C1,9,1,14,65536
2,3,1,L1C1,76,6,12,64
3,0,0,L0C1,19,6,0,32736
3,1,1,L1C1,66,0,7,81920
5,0,5,L5C1,1,6,11,1
7,0,3,L3C1,12,5,12,1
7,1,2,L2C1,33,4,3,1
7,1,2,L2C1,33,5,4,1
7,1,2,L2C1,33,5,12,1
7,2,0,L0C0,1,0,15,4096
7,3,3,L3C1,36,7,7,0
7,3,5,L5C1,49,2,11,3
7,3,5,L5C1,49,2,15,3
7,3,5,L5C1,49,3,8,1048576
7,3,5,L5C1,49,3,12,1048576
7,3,5,L5C1,49,4,7,2
7,3,5,L5C1,49,5,0,1048576
7,4,5,L5C1,51,4,3,3
7,4,5,L5C1,51,4,7,3
7,4,5,L5C1,51,4,11,3
7,4,5,L5C1,51,4,15,1
7,4,5,L5C1,51,5,0,1048576
7,4,5,L5C1,51,5,4,1048576
7,4,5,L5C1,51,5,12,1048576
8,0,0,L0C1,4,1,11,8
8,0,0,L0C1,4,6,15,2
8,0,1,L1C1,11,4,2,1
8,0,1,L1C1,11,4,8,1048577
8,0,2,L2C1,18,6,11,1
8,0,2,L2C1,18,7,8,1048576
8,0,3,L3C1,31,7,8,1048576
8,0,4,L4C1,11,2,1,1
8,0,4,L4C1,11,4,7,1048576
8,1,0,L0C1,2,1,0,1024
8,1,0,L0C1,2,6,3,1048576
8,1,1,L1C1,19,3,7,131075
8,1,2,L2C1,1,0,1,1
8,1,2,L2C1,1,3,2,1
8,1,2,L2C1,1,4,11,0
8,1,2,L2C1,1,4,15,0
8,1,2,L2C1,1,5,12,0
8,1,3,L3C1,44,4,11,3
8,1,3,L3C1,44,4,15,1
8,1,3,L3C1,44,5,12,1048576
8,2,4,L4C0,18,0,0,1572864
8,2,5,L5C0,1,2,14,1
8,3,1,L1C1,20,7,9,1048576
8,3,2,L2C1,3,1,9,131072
8,3,2,L2C1,3,4,13,1
8,3,2,L2C1,3,4,14,1048576
8,3,2,L2C1,3,5,0,1
8,3,3,L3C1,76,3,8,1048576
8,3,3,L3C1,76,4,2,1048576
8,3,4,L4C1,4,1,5,0
8,3,4,L4C1,4,1,15,0
8,3,4,L4C1,4,6,13,1048576
8,4,0,L0C1,3,1,5,1
8,4,0,L0C1,3,1,15,1048579
9,0,3,L3C1,15,1,15,11
9,1,1,L1C1,4,7,3,35
9,1,4,L4C1,24,6,2,16384
9,3,0,L0C1,35,1,8,0
9,3,0,L0C1,35,3,0,2048
9,3,4,L4C1,15,6,10,1
9,3,5,L5C1,32,2,13,1048576
9,4,0,L0C1,15,1,11,8
9,4,5,L5C1,13,6,4,1310720
10,2,1,L1C0,21,1,10,32
10,4,4,L4C1,53,1,8,1
11,3,4,L4C1,26,6,3,3
11,3,4,L4C1,26,6,7,3
11,3,4,L4C1,26,7,0,1048576
11,3,4,L4C1,26,7,4,1048576
12,0,1,L1C1,1,2,9,32768
12,0,5,L5C1,70,6,11,1
12,1,1,L1C1,23,7,15,259
12,1,2,L2C1,34,4,3,64
12,1,5,L5C1,73,4,3,3
12,1,5,L5C1,73,4,7,3
12,1,5,L5C1,73,5,0,1048576
12,1,5,L5C1,73,5,4,1048576
12,2,1,L1C0,7,4,6,2097151
12,2,5,L5C0,16,1,7,131
13,4,0,L0C1,12,2,15,1
15,0,4,L4C1,61,1,9,1
15,1,4,L4C1,58,4,0,32768
15,1,4,L4C1,58,4,4,16384
16,0,1,L1C1,49,0,11,1
16,0,1,L1C1,49,2,3,1
16,1,3,L3C1,48,6,15,2
16,1,5,L5C1,46,0,2,1048576
16,2,5,L5C0,11,4,14,1048576
16,4,1,L1C1,69,0,2,4
16,4,1,L1C1,69,0,3,1179648
17,0,1,L1C1,1,2,9,32768
17,0,5,L5C1,1,6,11,1
17,1,1,L1C1,23,7,15,259
17,1,2,L2C1,34,4,3,64
17,1,5,L5C1,28,4,3,3
17,1,5,L5C1,28,4,7,3
17,1,5,L5C1,28,5,0,1048576
17,1,5,L5C1,28,5,4,1048576
17,2,1,L1C0,7,4,6,2097151
17,2,5,L5C0,16,1,7,131
17,3,5,L5C1,28,4,3,3
17,3,5,L5C1,28,4,7,3
17,3,5,L5C1,28,5,0,1048576
17,3,5,L5C1,28,5,4,1048576
17,4,0,L0C1,12,2,15,1
