mcmidx/I,ntracklets/I
15,50949
867,11157
875,47027
883,22506
891,50955
2233,50818
2267,50662
2327,50874
2335,48608
3550,49904
4879,14801
4887,50864
4895,50861
4903,50867
4943,50850
4951,50856
4959,50855
4967,50847
4975,50818
4983,50852
4991,50825
5023,50893
5887,50883
5895,31212
5903,50888
5911,50871
6044,50878
6492,50933
6499,101534
6639,50830
6716,51021
6787,50950
6851,42343
6859,35662
6946,50942
6979,50909
6995,50878
7265,50836
8376,50864
8542,10204
9046,13089
9507,36341
9515,35615
10298,50650
10604,50914
20423,50811
22381,35096
23551,20827
23682,50887
25290,18298
25575,49885
25819,50967
26783,50960
27111,17713
27119,50748
27127,50738
27135,50739
27143,50746
27167,50738
27175,50731
27183,50739
27199,50744
27207,50744
27215,50746
27223,50740
27231,20996
27767,50863
27783,50839
28947,27318
28955,50916
28963,14108
29003,50874
29207,50892
31219,34168
33220,50924
34671,10909
34687,50908
38455,49586
38644,50928
39164,16849
43011,42856
44293,28012
44306,24732
45647,50929
45655,50941
45679,50942
45691,50949
45703,50921
46219,51076
46235,50982
46283,50975
46316,51065
46331,101546
48247,50864
49065,50867
49847,50815
53336,50828
55392,50963
56161,50903
57173,34481
58512,15276
60443,50921
63959,50946
63967,50904
64351,50848
64359,50835
64407,50850
64415,50841
